Date,Solar (MU),Wind (MU),Other RE (MU)
19-06-2021,162.09,337.44,29.95
20-06-2021,193.33,381.9,30.52
21-06-2021,195.45,305.28,31.21
22-06-2021,195.78,303.76,28.25
23-06-2021,173.77,265.61,31.19
24-06-2021,171.46,361.74,30.83
25-06-2021,184.15,390.64,29.23
26-06-2021,167.65,377.08,30.27
27-06-2021,138.94,228.76,29.46
28-06-2021,172.9,160.69,30.55
29-06-2021,201.59,151.31,30.4
30-06-2021,203.24,298.39,28.09
01-07-2021,167.78,361.27,28.21
02-07-2021,166.92,402.12,27.54
03-07-2021,188.31,306.07,27.33
04-07-2021,183.86,218.83,28.35
05-07-2021,178.89,161.28,29.22
06-07-2021,191.48,139.86,28.62
07-07-2021,190.56,209.44,28.86
08-07-2021,167.69,269.45,28.05
09-07-2021,160.76,241.47,32.23
10-07-2021,160.81,251.39,29.29
11-07-2021,118.65,253.02,29.24
12-07-2021,141.23,274.32,28.92
13-07-2021,145.09,292.01,31.4
14-07-2021,146.95,245.82,35.04
15-07-2021,155.52,211.83,34.84
16-07-2021,168.63,182.49,37.41
17-07-2021,166.71,191.32,38.57
18-07-2021,131.37,334.67,36.18
19-07-2021,165.26,451.29,34.82
20-07-2021,143.96,495.44,35.92
21-07-2021,118.79,503.35,37.28
22-07-2021,118.55,453.03,39.08
23-07-2021,141.01,366.18,36.2
24-07-2021,167.02,384.01,36.47
